player_id,first_name,last_name,position,height_feet,height_inches,height_total_inches,weight_pounds,jersey_number,college,country,draft_year,draft_round,draft_number,team_id,team_abbreviation,team_name,team_conference,team_division,full_name,position_standard
62,Miles,Bridges,F,6.0,7.0,79.0,,,,,,,,4,CHA,Charlotte Hornets,East,Southeast,Miles Bridges,F
63,Isaiah,Briscoe,G,6.0,3.0,75.0,,,,,,,,22,ORL,Orlando Magic,East,Southeast,Isaiah Briscoe,G
64,Ryan,Broekhoff,G-F,6.0,6.0,78.0,,,,,,,,7,DAL,Dallas Mavericks,West,Southwest,Ryan Broekhoff,G-F
65,Malcolm,Brogdon,G,6.0,4.0,76.0,,,,,,,,30,WAS,Washington Wizards,East,Southeast,Malcolm Brogdon,G
66,Dillon,Brooks,G-F,6.0,6.0,78.0,,,,,,,,11,HOU,Houston Rockets,West,Southwest,Dillon Brooks,G-F
67,MarShon,Brooks,G,6.0,5.0,77.0,,,,,,,,3,BKN,Brooklyn Nets,East,Atlantic,MarShon Brooks,G
69,Bruce,Brown,G,6.0,4.0,76.0,,,,,,,,19,NOP,New Orleans Pelicans,West,Southwest,Bruce Brown,G
70,Jaylen,Brown,G,6.0,6.0,78.0,,,,,,,,2,BOS,Boston Celtics,East,Atlantic,Jaylen Brown,G
71,Lorenzo,Brown,G,6.0,5.0,77.0,,,,,,,,28,TOR,Toronto Raptors,East,Atlantic,Lorenzo Brown,G
72,Sterling,Brown,G,6.0,5.0,77.0,,,,,,,,14,LAL,Los Angeles Lakers,West,Pacific,Sterling Brown,G
73,Jalen,Brunson,G,6.0,2.0,74.0,,,,,,,,20,NYK,New York Knicks,East,Atlantic,Jalen Brunson,G
74,Thomas,Bryant,C,6.0,10.0,82.0,,,,,,,,12,IND,Indiana Pacers,East,Central,Thomas Bryant,C
75,Reggie,Bullock,G-F,6.0,6.0,78.0,,,,,,,,11,HOU,Houston Rockets,West,Southwest,Reggie Bullock,G-F
76,Trey,Burke,G,6.0,0.0,72.0,,,,,,,,7,DAL,Dallas Mavericks,West,Southwest,Trey Burke,G
77,Alec,Burks,G,6.0,5.0,77.0,,,,,,,,16,MIA,Miami Heat,East,Southeast,Alec Burks,G
78,Deonte,Burton,G,6.0,4.0,76.0,,,,,,,,21,OKC,Oklahoma City Thunder,West,Northwest,Deonte Burton,G
79,Jimmy,Butler,G-F,6.0,7.0,79.0,,,,,,,,10,GSW,Golden State Warriors,West,Pacific,Jimmy Butler,G-F
80,Jose,Calderon,G,6.0,3.0,75.0,,,,,,,,28,TOR,Toronto Raptors,East,Atlantic,Jose Calderon,G
81,Kentavious,Caldwell-Pope,G,6.0,5.0,77.0,,,,,,,,22,ORL,Orlando Magic,East,Southeast,Kentavious Caldwell-Pope,G
82,Isaiah,Canaan,G,6.0,0.0,72.0,,,,,,,,23,PHI,Philadelphia 76ers,East,Atlantic,Isaiah Canaan,G
83,Clint,Capela,C,6.0,10.0,82.0,,,,,,,,1,ATL,Atlanta Hawks,East,Southeast,Clint Capela,C
84,DeMarre,Carroll,F,6.0,6.0,78.0,,,,,,,,1,ATL,Atlanta Hawks,East,Southeast,DeMarre Carroll,F
